lga,"lga_visible","short_name",name
QLD300,"QLD300 - Woorabinda Aboriginal Shire",Woorabinda,"Woorabinda Aboriginal Shire"
QLD26,"QLD26 - Burdekin Shire",Burdekin,"Burdekin Shire"
QLD27,"QLD27 - Burke Shire",Burke,"Burke Shire"
QLD21,"QLD21 - Brisbane City",Brisbane,"Brisbane City"
QLD23,"QLD23 - Bulloo Shire",Bulloo,"Bulloo Shire"
QLD316,"QLD316 - Douglas Shire",Douglas,"Douglas Shire"
QLD317,"QLD317 - Livingstone Shire",Livingstone,"Livingstone Shire"
QLD318,"QLD318 - Mareeba Shire",Mareeba,"Mareeba Shire"
QLD319,"QLD319 - Noosa Shire",Noosa,"Noosa Shire"
QLD312,"QLD312 - Western Downs Regional","Western Downs","Western Downs Regional"
QLD313,"QLD313 - Maranoa Regional",Maranoa,"Maranoa Regional"
QLD315,"QLD315 - Yarrabah Aboriginal Shire",Yarrabah,"Yarrabah Aboriginal Shire"
QLD310,"QLD310 - Hope Vale Aboriginal Shire","Hope Vale","Hope Vale Aboriginal Shire"
QLD311,"QLD311 - Cherbourg Aboriginal Shire",Cherbourg,"Cherbourg Aboriginal Shire"
QLD35,"QLD35 - Carpentaria Shire",Carpentaria,"Carpentaria Shire"
QLD40,"QLD40 - Cloncurry Shire",Cloncurry,"Cloncurry Shire"
QLD41,"QLD41 - Cook Shire",Cook,"Cook Shire"
QLD48,"QLD48 - Diamantina Shire",Diamantina,"Diamantina Shire"
QLD44,"QLD44 - Croydon Shire",Croydon,"Croydon Shire"
QLD57,"QLD57 - Etheridge Shire",Etheridge,"Etheridge Shire"
QLD59,"QLD59 - Flinders Shire",Flinders,"Flinders Shire"
QLD109,"QLD109 - Murweh Shire",Murweh,"Murweh Shire"
QLD103,"QLD103 - Mornington Shire",Mornington,"Mornington Shire"
QLD104,"QLD104 - Mount Isa City","Mount Isa","Mount Isa City"
QLD63,"QLD63 - Gold Coast City","Gold Coast","Gold Coast City"
QLD68,"QLD68 - Hinchinbrook Shire",Hinchinbrook,"Hinchinbrook Shire"
QLD116,"QLD116 - Paroo Shire",Paroo,"Paroo Shire"
QLD74,"QLD74 - Ipswich City",Ipswich,"Ipswich City"
