"lga_pid","lga_visible","short_name","name"
"WA307","WA307 - City Of Nedlands","Nedlands","City Of Nedlands"
"WA306","WA306 - Shire Of Quairading","Quairading","Shire Of Quairading"
"WA426","WA426 - City Of Karratha","Karratha","City Of Karratha"
"WA425","WA425 - City Of Kwinana","Kwinana","City Of Kwinana"
"WA424","WA424 - City Of Busselton","Busselton","City Of Busselton"
"WA423","WA423 - City Of Perth","Perth","City Of Perth"
"WA428","WA428 - Shire Of Augusta Margaret River","Augusta Margaret River","Shire Of Augusta Margaret River"
"WA427","WA427 - City Of Kalamunda","Kalamunda","City Of Kalamunda"
"WA411","WA411 - Shire Of Bridgetown-Greenbushes","Bridgetown-Greenbushes","Shire Of Bridgetown-Greenbushes"
"WA410","WA410 - Shire Of Lake Grace","Lake Grace","Shire Of Lake Grace"
"WA415","WA415 - Shire Of Derby-West Kimberley","Derby-West Kimberley","Shire Of Derby-West Kimberley"
"WA414","WA414 - Shire Of Kellerberrin","Kellerberrin","Shire Of Kellerberrin"
"WA413","WA413 - Shire Of Wagin","Wagin","Shire Of Wagin"
"WA412","WA412 - Shire Of Boddington","Boddington","Shire Of Boddington"
"WA419","WA419 - Shire Of Esperance","Esperance","Shire Of Esperance"
"WA418","WA418 - Shire Of Northampton","Northampton","Shire Of Northampton"
"WA417","WA417 - Town Of Port Hedland","Port Hedland","Town Of Port Hedland"
"WA416","WA416 - City Of Fremantle","Fremantle","City Of Fremantle"
"WA299","WA299 - Shire Of Ngaanyatjarraku","Ngaanyatjarraku","Shire Of Ngaanyatjarraku"
"WA298","WA298 - Shire Of Narrogin","Narrogin","Shire Of Narrogin"
"WA293","WA293 - Shire Of York","York","Shire Of York"
"WA292","WA292 - Shire Of Donnybrook-Balingup","Donnybrook-Balingup","Shire Of Donnybrook-Balingup"
"WA291","WA291 - Shire Of Halls Creek","Halls Creek","Shire Of Halls Creek"
"WA290","WA290 - Shire Of Wandering","Wandering","Shire Of Wandering"
"WA296","WA296 - Shire Of Ravensthorpe","Ravensthorpe","Shire Of Ravensthorpe"
"WA295","WA295 - Shire Of Woodanilling","Woodanilling","Shire Of Woodanilling"
"WA294","WA294 - Shire Of Dalwallinu","Dalwallinu","Shire Of Dalwallinu"
"WA288","WA288 - Shire Of Cuballing","Cuballing","Shire Of Cuballing"
"WA287","WA287 - Shire Of East Pilbara","East Pilbara","Shire Of East Pilbara"
"WA399","WA399 - Shire Of Jerramungup","Jerramungup","Shire Of Jerramungup"
"WA398","WA398 - Shire Of Gnowangerup","Gnowangerup","Shire Of Gnowangerup"
"WA397","WA397 - Shire Of Chittering","Chittering","Shire Of Chittering"
"WA286","WA286 - Shire Of Narembeen","Narembeen","Shire Of Narembeen"
"WA392","WA392 - Shire Of Three Springs","Three Springs","Shire Of Three Springs"
"WA391","WA391 - Shire Of Tammin","Tammin","Shire Of Tammin"
"WA390","WA390 - Shire Of Wiluna","Wiluna","Shire Of Wiluna"
"WA396","WA396 - Shire Of Wickepin","Wickepin","Shire Of Wickepin"
"WA395","WA395 - Shire Of Bruce Rock","Bruce Rock","Shire Of Bruce Rock"
"WA394","WA394 - Shire Of Mount Magnet","Mount Magnet","Shire Of Mount Magnet"
"WA393","WA393 - Shire Of Upper Gascoyne","Upper Gascoyne","Shire Of Upper Gascoyne"
"WA389","WA389 - Shire Of Cunderdin","Cunderdin","Shire Of Cunderdin"
"WA388","WA388 - Shire Of Toodyay","Toodyay","Shire Of Toodyay"
"WA387","WA387 - Shire Of Carnamah","Carnamah","Shire Of Carnamah"
"WA386","WA386 - Shire Of Northam","Northam","Shire Of Northam"
"WA381","WA381 - Shire Of Merredin","Merredin","Shire Of Merredin"
"WA380","WA380 - Shire Of Moora","Moora","Shire Of Moora"
"WA385","WA385 - Shire Of Shark Bay","Shark Bay","Shire Of Shark Bay"
"WA384","WA384 - Shire Of Morawa","Morawa","Shire Of Morawa"
"WA383","WA383 - Shire Of Menzies","Menzies","Shire Of Menzies"
"WA382","WA382 - City Of Kalgoorlie-Boulder","Kalgoorlie-Boulder","City Of Kalgoorlie-Boulder"
"WA378","WA378 - Shire Of Mingenew","Mingenew","Shire Of Mingenew"
"WA377","WA377 - Town Of Bassendean","Bassendean","Town Of Bassendean"
"WA376","WA376 - Town Of Cottesloe","Cottesloe","Town Of Cottesloe"
"WA375","WA375 - Town Of Mosman Park","Mosman Park","Town Of Mosman Park"
"WA379","WA379 - Shire Of Kent","Kent","Shire Of Kent"
"VIC192","VIC192 - Wodonga City","Wodonga","Wodonga City"
"VIC191","VIC191 - Indigo Shire","Indigo","Indigo Shire"
"VIC190","VIC190 - Moira Shire","Moira","Moira Shire"
"VIC196","VIC196 - Whitehorse City","Whitehorse","Whitehorse City"
"VIC195","VIC195 - Manningham City","Manningham","Manningham City"
"VIC194","VIC194 - Baw Baw Shire","Baw Baw","Baw Baw Shire"
"VIC193","VIC193 - Greater Bendigo City","Greater Bendigo","Greater Bendigo City"
"VIC199","VIC199 - Benalla Rural City","Benalla","Benalla Rural City"
"VIC198","VIC198 - Hume City","Hume","Hume City"
"VIC197","VIC197 - Whittlesea City","Whittlesea","Whittlesea City"
"VIC180","VIC180 - Swan Hill Rural City","Swan Hill","Swan Hill Rural City"
"VIC185","VIC185 - Loddon Shire","Loddon","Loddon Shire"
"VIC183","VIC183 - Buloke Shire","Buloke","Buloke Shire"
"VIC182","VIC182 - Bayside City","Bayside","Bayside City"
"VIC189","VIC189 - Brimbank City","Brimbank","Brimbank City"
"VIC188","VIC188 - Banyule City","Banyule","Banyule City"
"VIC187","VIC187 - Towong Shire","Towong","Towong Shire"
"VIC186","VIC186 - Wangaratta Rural City","Wangaratta","Wangaratta Rural City"
"VIC173","VIC173 - Bass Coast Shire","Bass Coast","Bass Coast Shire"
"VIC178","VIC178 - South Gippsland Shire","South Gippsland","South Gippsland Shire"
"VIC177","VIC177 - Glen Eira City","Glen Eira","Glen Eira City"
"VIC179","VIC179 - Warrnambool City","Warrnambool","Warrnambool City"
"VIC166","VIC166 - Northern Grampians Shire","Northern Grampians","Northern Grampians Shire"
"VIC169","VIC169 - Central Goldfields Shire","Central Goldfields","Central Goldfields Shire"
"VIC152","VIC152 - Hindmarsh Shire","Hindmarsh","Hindmarsh Shire"
"VIC153","VIC153 - Horsham Rural City","Horsham","Horsham Rural City"
"VIC250","VIC250 - Murrindindi Shire","Murrindindi","Murrindindi Shire"
"VIC132","VIC132 - Melbourne City","Melbourne","Melbourne City"
"VIC131","VIC131 - Moreland City","Moreland","Moreland City"
"VIC244","VIC244 - Mansfield Shire","Mansfield","Mansfield Shire"
"VIC243","VIC243 - East Gippsland Shire","East Gippsland","East Gippsland Shire"
"VIC242","VIC242 - Alpine Shire","Alpine","Alpine Shire"
"VIC241","VIC241 - Ballarat City","Ballarat","Ballarat City"
"VIC247","VIC247 - Greater Dandenong City","Greater Dandenong","Greater Dandenong City"
"VIC239","VIC239 - Campaspe Shire","Campaspe","Campaspe Shire"
"VIC238","VIC238 - Queenscliffe Borough","Queenscliffe","Queenscliffe Borough"
"VIC121","VIC121 - Moonee Valley City","Moonee Valley","Moonee Valley City"
"VIC233","VIC233 - Southern Grampians Shire","Southern Grampians","Southern Grampians Shire"
"VIC232","VIC232 - West Wimmera Shire","West Wimmera","West Wimmera Shire"
"VIC231","VIC231 - Corangamite Shire","Corangamite","Corangamite Shire"
"VIC230","VIC230 - Golden Plains Shire","Golden Plains","Golden Plains Shire"
"VIC237","VIC237 - Melton City","Melton","Melton City"
"VIC236","VIC236 - Moorabool Shire","Moorabool","Moorabool Shire"
"VIC235","VIC235 - Hobsons Bay City","Hobsons Bay","Hobsons Bay City"
"VIC234","VIC234 - Maribyrnong City","Maribyrnong","Maribyrnong City"
"VIC229","VIC229 - Moyne Shire","Moyne","Moyne Shire"
"VIC228","VIC228 - Macedon Ranges Shire","Macedon Ranges","Macedon Ranges Shire"
"VIC227","VIC227 - Frankston City","Frankston","Frankston City"
"VIC110","VIC110 - Strathbogie Shire","Strathbogie","Strathbogie Shire"
"VIC222","VIC222 - Mildura Rural City","Mildura","Mildura Rural City"
"VIC221","VIC221 - Wyndham City","Wyndham","Wyndham City"
"VIC220","VIC220 - Ararat Rural City","Ararat","Ararat Rural City"
"VIC226","VIC226 - Kingston City","Kingston","Kingston City"
"VIC225","VIC225 - Surf Coast Shire","Surf Coast","Surf Coast Shire"
"VIC224","VIC224 - Colac Otway Shire","Colac Otway","Colac Otway Shire"
"VIC223","VIC223 - Glenelg Shire","Glenelg","Glenelg Shire"
"VIC219","VIC219 - Latrobe City","Latrobe","Latrobe City"
"VIC218","VIC218 - Wellington Shire","Wellington","Wellington Shire"
"VIC217","VIC217 - Pyrenees Shire","Pyrenees","Pyrenees Shire"
"VIC216","VIC216 - Nillumbik Shire","Nillumbik","Nillumbik Shire"
"VIC105","VIC105 - Mount Alexander Shire","Mount Alexander","Mount Alexander Shire"
"VIC211","VIC211 - Mitchell Shire","Mitchell","Mitchell Shire"
"VIC210","VIC210 - Monash City","Monash","Monash City"
"VIC215","VIC215 - Greater Geelong City","Greater Geelong","Greater Geelong City"
"VIC214","VIC214 - Gannawarra Shire","Gannawarra","Gannawarra Shire"
"VIC213","VIC213 - Casey City","Casey","Casey City"
"VIC212","VIC212 - Cardinia Shire","Cardinia","Cardinia Shire"
"VIC208","VIC208 - Port Phillip City","Port Phillip","Port Phillip City"
"VIC207","VIC207 - Maroondah City","Maroondah","Maroondah City"
"VIC206","VIC206 - Yarra Ranges Shire","Yarra Ranges","Yarra Ranges Shire"
"VIC205","VIC205 - Darebin City","Darebin","Darebin City"
"VIC209","VIC209 - Knox City","Knox","Knox City"
"VIC200","VIC200 - Yarriambiack Shire","Yarriambiack","Yarriambiack Shire"
"VIC93","VIC93 - Greater Shepparton City","Greater Shepparton","Greater Shepparton City"
"VIC204","VIC204 - Mornington Peninsula Shire","Mornington Peninsula","Mornington Peninsula Shire"
"VIC203","VIC203 - Stonnington City","Stonnington","Stonnington City"
"VIC202","VIC202 - Yarra City","Yarra","Yarra City"
"VIC201","VIC201 - Boroondara City","Boroondara","Boroondara City"
"VIC94","VIC94 - Hepburn Shire","Hepburn","Hepburn Shire"
"NT84","NT84 - Central Desert Region","Central Desert","Central Desert Region"
"NT88","NT88 - Victoria Daly Region","Victoria Daly","Victoria Daly Region"
"NT87","NT87 - West Daly Region","West Daly","West Daly Region"
"NT86","NT86 - Barkly Region","Barkly","Barkly Region"
"NT85","NT85 - Macdonnell Region","Macdonnell","Macdonnell Region"
"NT70","NT70 - Wagait Shire","Wagait","Wagait Shire"
"NT68","NT68 - Darwin Municipality","Darwin","Darwin Municipality"
"NT67","NT67 - Palmerston Municipality","Palmerston","Palmerston Municipality"
"NT62","NT62 - Katherine Municipality","Katherine","Katherine Municipality"
"NT61","NT61 - Coomalie Shire","Coomalie","Coomalie Shire"
"NT60","NT60 - Litchfield Municipality","Litchfield","Litchfield Municipality"
"NT63","NT63 - Darwin Waterfront Precinct Municipality","Darwin Waterfront Precinct","Darwin Waterfront Precinct Municipality"
"NT59","NT59 - Belyuen Shire","Belyuen","Belyuen Shire"
"NT55","NT55 - Alice Springs Municipality","Alice Springs","Alice Springs Municipality"
"NT91","NT91 - West Arnhem Region","West Arnhem","West Arnhem Region"
"NT94","NT94 - Tiwi Islands Region","Tiwi Islands","Tiwi Islands Region"
"NT93","NT93 - East Arnhem Region","East Arnhem","East Arnhem Region"
"NT92","NT92 - Roper Gulf Region","Roper Gulf","Roper Gulf Region"
"SA75","SA75 - Campbelltown City Council","Campbelltown","Campbelltown City Council"
"SA74","SA74 - City Of Burnside","Burnside","City Of Burnside"
"SA79","SA79 - Port Augusta City Council","Port Augusta","Port Augusta City Council"
"SA78","SA78 - City Of Port Adelaide Enfield","Port Adelaide Enfield","City Of Port Adelaide Enfield"
"SA68","SA68 - Uia Whyalla","Uia Whyalla","Uia Whyalla"
"SA67","SA67 - Uia Riverland","Uia Riverland","Uia Riverland"
"SA159","SA159 - Uia Torrens Island","Uia Torrens Island","Uia Torrens Island"
"SA150","SA150 - Maralinga Tjarutja","Mt","Maralinga Tjarutja"
"SA154","SA154 - The Corporation Of The Town Of Walkerville","Walkerville","The Corporation Of The Town Of Walkerville"
"SA153","SA153 - Copper Coast Council","Copper Coast","Copper Coast Council"
"SA158","SA158 - Barunga West Council","Barunga West","Barunga West Council"
"SA155","SA155 - Coorong District Council","Coorong","Coorong District Council"
"SA149","SA149 - Adelaide Plains Council","Adelaide Plains","Adelaide Plains Council"
"SA143","SA143 - Mount Barker District Council","Mount Barker","Mount Barker District Council"
"SA142","SA142 - Dc Of Elliston","Elliston","Dc Of Elliston"
"SA141","SA141 - Yorke Peninsula Council","Yorke Peninsula","Yorke Peninsula Council"
"SA140","SA140 - Renmark Paringa Council","Renmark Paringa","Renmark Paringa Council"
"SA146","SA146 - Pastoral Unincorporated Area","Pua","Pastoral Unincorporated Area"
"SA145","SA145 - Anangu Pitjantjatjara Yankunytjatjara","Apy","Anangu Pitjantjatjara Yankunytjatjara"
"SA139","SA139 - The Dc Of Lower Eyre Peninsula","Lower Eyre Peninsula","The Dc Of Lower Eyre Peninsula"
"SA138","SA138 - Kangaroo Island Council","Kangaroo Island","Kangaroo Island Council"
"SA132","SA132 - Dc Of Robe","Robe","Dc Of Robe"
"SA131","SA131 - The Dc Of Orroroo Carrieton","Orroroo/carrieton","The Dc Of Orroroo Carrieton"
"SA130","SA130 - Northern Areas Council","Northern Areas","Northern Areas Council"
"SA136","SA136 - The Berri Barmera Council","Berri Barmera","The Berri Barmera Council"
"SA134","SA134 - The Dc Of Streaky Bay","Streaky Bay","The Dc Of Streaky Bay"
"SA133","SA133 - City Of Victor Harbor","Victor Harbor","City Of Victor Harbor"
"SA129","SA129 - Naracoorte Lucindale Council","Naracoorte Lucindale","Naracoorte Lucindale Council"
"SA128","SA128 - The Dc Of Mount Remarkable","Mount Remarkable","The Dc Of Mount Remarkable"
"SA126","SA126 - Mid Murray Council","Mid Murray","Mid Murray Council"
"SA121","SA121 - The Dc Of Loxton Waikerie","Loxton Waikerie","The Dc Of Loxton Waikerie"
"SA120","SA120 - Light Regional Council","Light","Light Regional Council"
"SA124","SA124 - The Dc Of Kimba","Kimba","The Dc Of Kimba"
"SA123","SA123 - The Dc Of Karoonda East Murray","Karoonda East Murray","The Dc Of Karoonda East Murray"
"SA122","SA122 - The Flinders Ranges Council","Flinders Ranges","The Flinders Ranges Council"
"SA118","SA118 - The Dc Of Grant","Grant","The Dc Of Grant"
"SA117","SA117 - The Regional Council Of Goyder","Goyder","The Regional Council Of Goyder"
"SA116","SA116 - The Dc Of Franklin Harbour","Franklin Harbour","The Dc Of Franklin Harbour"
"SA119","SA119 - Kingston Dc","Kingston","Kingston Dc"
"SA114","SA114 - The Dc Of Coober Pedy","Coober Pedy","The Dc Of Coober Pedy"
"SA113","SA113 - The Dc Of Cleve","Cleve","The Dc Of Cleve"
"SA112","SA112 - Clare And Gilbert Valleys Council","Clare And Gilbert Valleys","Clare And Gilbert Valleys Council"
"SA111","SA111 - The Dc Of Ceduna","Ceduna","The Dc Of Ceduna"
"SA107","SA107 - Adelaide Hills Council","Adelaide Hills","Adelaide Hills Council"
"SA105","SA105 - City Of Holdfast Bay","Holdfast Bay","City Of Holdfast Bay"
"SA104","SA104 - Wakefield Regional Council","Wakefield","Wakefield Regional Council"
"SA109","SA109 - The Barossa Council","Barossa","The Barossa Council"
"SA108","SA108 - Alexandrina Council","Alexandrina","Alexandrina Council"
"SA103","SA103 - The Rural City Of Murray Bridge","Murray Bridge","The Rural City Of Murray Bridge"
"SA102","SA102 - City Of West Torrens","West Torrens","City Of West Torrens"
"SA101","SA101 - City Of Tea Tree Gully","Tea Tree Gully","City Of Tea Tree Gully"
"SA100","SA100 - Municipal Council Of Roxby Downs","Roxby Downs","Municipal Council Of Roxby Downs"
"SA95","SA95 - Southern Mallee Dc","Southern Mallee","Southern Mallee Dc"
"SA94","SA94 - The Dc Of Peterborough","Peterborough","The Dc Of Peterborough"
"SA93","SA93 - City Of Onkaparinga","Onkaparinga","City Of Onkaparinga"
"SA92","SA92 - The City Of Norwood Payneham And St Peters","Norwood Payneham And St Peters","The City Of Norwood Payneham And St Peters"
"SA99","SA99 - Port Pirie Regional Council","Port Pirie","Port Pirie Regional Council"
"SA98","SA98 - City Of Playford","Playford","City Of Playford"
"SA97","SA97 - Wudinna District Council","Wudinna","Wudinna District Council"
"SA96","SA96 - Tatiara Dc","Tatiara","Tatiara Dc"
"SA91","SA91 - City Of Marion","Marion","City Of Marion"
"SA90","SA90 - City Of Charles Sturt","Charles Sturt","City Of Charles Sturt"
"SA84","SA84 - The Corporation Of The City Of Whyalla","Whyalla","The Corporation Of The City Of Whyalla"
"SA83","SA83 - City Of Unley","Unley","City Of Unley"
"SA82","SA82 - City Of Salisbury","Salisbury","City Of Salisbury"
"SA81","SA81 - City Of Prospect","Prospect","City Of Prospect"
"SA88","SA88 - Wattle Range Council","Wattle Range","Wattle Range Council"
"SA87","SA87 - The Dc Of Tumby Bay","Tumby Bay","The Dc Of Tumby Bay"
"SA85","SA85 - Town Of Gawler","Gawler","Town Of Gawler"
"SA89","SA89 - The Dc Of Yankalilla","Yankalilla","The Dc Of Yankalilla"
"SA80","SA80 - City Of Port Lincoln","Port Lincoln","City Of Port Lincoln"
"SA73","SA73 - Adelaide City Council","Adelaide","Adelaide City Council"
"SA77","SA77 - City Of Mount Gambier","Mount Gambier","City Of Mount Gambier"
"SA76","SA76 - City Of Mitcham","Mitcham","City Of Mitcham"
"TAS91","TAS91 - Launceston City Council","Launceston City","Launceston City Council"
"TAS90","TAS90 - Hobart City Council","Hobart City","Hobart City Council"
"TAS92","TAS92 - Glenorchy City Council","Glenorchy City","Glenorchy City Council"
"TAS89","TAS89 - Devonport City Council","Devonport City","Devonport City Council"
"TAS80","TAS80 - Meander Valley Council","Meander Valley","Meander Valley Council"
"TAS84","TAS84 - Tasman Council","Tasman","Tasman Council"
"TAS83","TAS83 - Southern Midlands Council","Southern Midlands","Southern Midlands Council"
"TAS82","TAS82 - Sorell Council","Sorell","Sorell Council"
"TAS81","TAS81 - Northern Midlands Council","Northern Midlands","Northern Midlands Council"
"TAS88","TAS88 - Burnie City Council","Burnie City","Burnie City Council"
"TAS87","TAS87 - West Coast Council","West Coast","West Coast Council"
"TAS86","TAS86 - West Tamar Council","West Tamar","West Tamar Council"
"TAS85","TAS85 - Waratah-wynyard Council","Waratah-wynyard","Waratah-wynyard Council"
"TAS79","TAS79 - Latrobe Council","Latrobe","Latrobe Council"
"TAS78","TAS78 - Kingborough Council","Kingborough","Kingborough Council"
"TAS73","TAS73 - George Town Council","George Town","George Town Council"
"TAS72","TAS72 - Flinders Council","Flinders","Flinders Council"
"TAS71","TAS71 - Dorset Council","Dorset","Dorset Council"
"TAS70","TAS70 - Derwent Valley Council","Derwent Valley","Derwent Valley Council"
"TAS77","TAS77 - King Island Council","King Island","King Island Council"
"TAS76","TAS76 - Kentish Council","Kentish","Kentish Council"
"TAS75","TAS75 - Huon Valley Council","Huon Valley","Huon Valley Council"
"TAS74","TAS74 - Glamorgan-spring Bay Council","Glamorgan-spring Bay","Glamorgan-spring Bay Council"
"TAS69","TAS69 - Clarence City Council","Clarence City","Clarence City Council"
"TAS68","TAS68 - Circular Head Council","Circular Head","Circular Head Council"
"TAS67","TAS67 - Central Highlands Council","Central Highlands","Central Highlands Council"
"TAS66","TAS66 - Central Coast Council","Central Coast","Central Coast Council"
"TAS65","TAS65 - Brighton Council","Brighton","Brighton Council"
"TAS64","TAS64 - Break O'day Council","Break O'day","Break O'day Council"
